GEOID10,STATE,COUNTY,land_sqmi,dens2010
06115,California,Yuba,631.84,114.20
08001,Colorado,Adams,1167.65,378.20
08003,Colorado,Alamosa,722.64,21.37
08005,Colorado,Arapahoe,798.10,716.71
08007,Colorado,Archuleta,1350.18,8.95
08009,Colorado,Baca,2554.97,1.48
08011,Colorado,Bent,1512.86,4.30
08013,Colorado,Boulder,726.29,405.58
08014,Colorado,Broomfield,1286.61,43.44
08015,Colorado,Chaffee,33.03,539.11
08017,Colorado,Cheyenne,1013.40,1.81
08019,Colorado,Clear Creek,1778.28,5.11
08021,Colorado,Conejos,395.23,20.89
08023,Colorado,Costilla,1287.39,2.74
08025,Colorado,Crowley,1226.95,4.75
08027,Colorado,Custer,787.42,5.40
08029,Colorado,Delta,738.63,41.90
08031,Colorado,Denver,1142.05,525.51
08033,Colorado,Dolores,153.00,13.49
08035,Colorado,Douglas,1067.05,267.53
08037,Colorado,Eagle,840.25,62.12
08039,Colorado,Elbert,1684.53,13.70
08041,Colorado,El Paso,1850.85,336.20
08043,Colorado,Fremont,2126.80,22.02
08045,Colorado,Garfield,1533.07,36.78
08047,Colorado,Gilpin,2947.56,1.85
08049,Colorado,Grand,149.90,99.02
08051,Colorado,Gunnison,1846.33,8.30
08053,Colorado,Hinsdale,3239.10,0.26
08055,Colorado,Huerfano,1117.25,6.01
08057,Colorado,Jackson,1591.00,0.88
08059,Colorado,Jefferson,1613.72,331.25
08061,Colorado,Kiowa,764.21,1.83
08063,Colorado,Kit Carson,1767.77,4.68
08065,Colorado,Lake,2160.82,3.38
08067,Colorado,La Plata,376.91,136.20
08069,Colorado,Larimer,1692.08,177.08
08071,Colorado,Las Animas,2596.00,5.97
08073,Colorado,Lincoln,4772.67,1.15
08075,Colorado,Logan,2577.63,8.81
08077,Colorado,Mesa,1838.55,79.80
08079,Colorado,Mineral,3328.97,0.21
08081,Colorado,Moffat,875.67,15.75
08083,Colorado,Montezuma,4743.29,5.38
08085,Colorado,Montrose,2029.53,20.34
08087,Colorado,Morgan,2240.69,12.57
08089,Colorado,Otero,1280.43,14.71
08091,Colorado,Ouray,1261.96,3.52
08093,Colorado,Park,541.59,29.92
08095,Colorado,Phillips,2193.85,2.02
08097,Colorado,Pitkin,687.93,24.93
08099,Colorado,Prowers,970.70,12.93
08101,Colorado,Pueblo,1638.39,97.08
08103,Colorado,Rio Blanco,2386.10,2.79
08105,Colorado,Rio Grande,3220.93,3.72
08107,Colorado,Routt,911.96,25.78
08109,Colorado,Saguache,2362.03,2.59
08111,Colorado,San Juan,3168.52,0.22
08113,Colorado,San Miguel,387.49,18.99
08115,Colorado,Sedgwick,548.04,4.34
08117,Colorado,Summit,608.36,46.02
08119,Colorado,Teller,557.06,41.92
08121,Colorado,Washington,2518.03,1.91
08123,Colorado,Weld,3987.24,63.41
08125,Colorado,Yuma,2364.40,4.25
09001,Connecticut,Fairfield,624.89,1467.19
09003,Connecticut,Hartford,735.10,1216.19
09005,Connecticut,Litchfield,920.56,206.32
09007,Connecticut,Middlesex,369.30,448.62
09009,Connecticut,New Haven,604.51,1426.75
09011,Connecticut,New London,664.88,412.19
09013,Connecticut,Tolland,410.21,372.22
09015,Connecticut,Windham,512.91,230.89
10001,Delaware,Kent,586.18,276.90
10003,Delaware,New Castle,426.29,1263.19
10005,Delaware,Sussex,936.08,210.61
11001,District Of Columbia,District Of Columbia,61.05,9856.49
12001,Florida,Alachua,875.02,282.66
12003,Florida,Baker,585.23,46.33
12005,Florida,Bay,758.46,222.62
12007,Florida,Bradford,293.96,97.02
12009,Florida,Brevard,1015.66,535.00
12011,Florida,Broward,1209.79,1444.94
12013,Florida,Calhoun,567.33,25.78
12015,Florida,Charlotte,680.28,235.17
12017,Florida,Citrus,581.70,242.80
12019,Florida,Clay,604.36,315.81
12021,Florida,Collier,1998.32,160.89
12023,Florida,Columbia,797.57,84.67
12027,Florida,Desoto,637.06,54.72
12029,Florida,Dixie,705.05,23.29
12031,Florida,Duval,762.19,1133.92
12033,Florida,Escambia,656.46,453.37
12035,Florida,Flagler,485.46,197.12
12037,Florida,Franklin,534.72,21.60
12039,Florida,Gadsden,516.33,89.84
12041,Florida,Gilchrist,349.68,48.44
12043,Florida,Glades,806.01,15.98
12045,Florida,Gulf,564.01,28.13
12047,Florida,Hamilton,513.79,28.80
12049,Florida,Hardee,637.78,43.48
12051,Florida,Hendry,1152.75,33.95
12053,Florida,Hernando,472.54,365.64
12055,Florida,Highlands,1016.61,97.17
12057,Florida,Hillsborough,1020.21,1204.87
12059,Florida,Holmes,478.78,41.62
12061,Florida,Indian River,502.87,274.48
12063,Florida,Jackson,917.76,54.20
12065,Florida,Jefferson,598.10,24.68
12067,Florida,Lafayette,543.41,16.32
12069,Florida,Lake,938.38,316.56
12071,Florida,Lee,784.51,788.71
12073,Florida,Leon,666.85,413.12
12075,Florida,Levy,1118.21,36.49
12077,Florida,Liberty,835.56,10.01
12079,Florida,Madison,695.95,27.62
12081,Florida,Manatee,742.93,434.54
12083,Florida,Marion,1584.55,209.08
12085,Florida,Martin,543.46,269.23
12086,Florida,Miami-Dade,1897.72,1315.49
12087,Florida,Monroe,983.28,74.33
12089,Florida,Nassau,648.64,113.03
12091,Florida,Okaloosa,930.25,194.38
12093,Florida,Okeechobee,768.91,52.02
12095,Florida,Orange,903.43,1268.45
12097,Florida,Osceola,1327.45,202.41
12099,Florida,Palm Beach,1969.76,670.20
12101,Florida,Pasco,746.89,622.18
12103,Florida,Pinellas,273.80,3347.50
12105,Florida,Polk,1797.84,334.90
12107,Florida,Putnam,727.62,102.20
12109,Florida,St Johns,600.66,316.39
12111,Florida,St Lucie,571.93,485.71
12113,Florida,Santa Rosa,1011.60,149.64
12115,Florida,Sarasota,555.87,682.62
12117,Florida,Seminole,309.22,1367.04
12119,Florida,Sumter,546.93,170.81
12121,Florida,Suwannee,688.55,60.35
12123,Florida,Taylor,1043.31,21.63
12125,Florida,Union,243.56,63.78
12127,Florida,Volusia,1101.03,449.21
12129,Florida,Wakulla,606.42,50.75
12131,Florida,Walton,1037.62,53.05
12133,Florida,Washington,582.80,42.72
