,countyfips,STNAME,CTYNAME,TOT_POP,PercentHBAC,dens2010,turnout,Q13,EQ_DRE with and without paper trail,EQ_DRE without paper trail,EQ_Mail,EQ_Paper and DRE with and without paper trail,EQ_Paper and DRE with paper trail,EQ_Paper and DRE without paper trail,EQ_Paper ballot
105,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,1.0,0,0,0,0,0,0,1
106,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,2.0,0,0,0,0,0,0,1
107,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,3.0,0,0,0,0,0,0,1
108,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,4.0,0,0,0,0,0,0,1
109,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,2.0,0,0,0,0,0,0,1
110,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,1.0,0,0,0,0,0,0,1
111,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,2.0,0,0,0,0,0,0,1
112,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,1.0,0,0,0,0,0,0,1
113,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,1.0,0,0,0,0,0,0,1
114,1089,Alabama,Madison County,366519,0.005541322550809098,417.68,0.43258014827382274,3.0,0,0,0,0,0,0,1
115,1091,Alabama,Marengo County,19066,0.0034092101122416866,21.52,0.43258014827382274,1.0,0,0,0,0,0,0,1
116,1091,Alabama,Marengo County,19066,0.0034092101122416866,21.52,0.43258014827382274,2.0,0,0,0,0,0,0,1
117,1091,Alabama,Marengo County,19066,0.0034092101122416866,21.52,0.43258014827382274,1.0,0,0,0,0,0,0,1
118,1091,Alabama,Marengo County,19066,0.0034092101122416866,21.52,0.43258014827382274,2.0,0,0,0,0,0,0,1
119,1093,Alabama,Marion County,29763,0.0017135369418405403,41.46,0.43258014827382274,1.0,0,0,0,0,0,0,1
120,1093,Alabama,Marion County,29763,0.0017135369418405403,41.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
121,1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,0.43258014827382274,2.0,0,0,0,0,0,0,1
122,1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,0.43258014827382274,4.0,0,0,0,0,0,0,1
123,1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,0.43258014827382274,1.0,0,0,0,0,0,0,1
124,1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,0.43258014827382274,2.0,0,0,0,0,0,0,1
125,1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,0.43258014827382274,1.0,0,0,0,0,0,0,1
126,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,5.0,0,0,0,0,0,0,1
127,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,3.0,0,0,0,0,0,0,1
128,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
129,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,3.0,0,0,0,0,0,0,1
130,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,1.0,0,0,0,0,0,0,1
131,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
132,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,3.0,0,0,0,0,0,0,1
133,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
134,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,4.0,0,0,0,0,0,0,1
135,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
136,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
137,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
138,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,3.0,0,0,0,0,0,0,1
139,1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,0.43258014827382274,2.0,0,0,0,0,0,0,1
140,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,3.0,0,0,0,0,0,0,1
141,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
142,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
143,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,3.0,0,0,0,0,0,0,1
144,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,1.0,0,0,0,0,0,0,1
145,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
146,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,1.0,0,0,0,0,0,0,1
147,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,1.0,0,0,0,0,0,0,1
148,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
149,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,1.0,0,0,0,0,0,0,1
150,1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,0.43258014827382274,2.0,0,0,0,0,0,0,1
151,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,4.0,0,0,0,0,0,0,1
152,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,2.0,0,0,0,0,0,0,1
153,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,1.0,0,0,0,0,0,0,1
154,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,2.0,0,0,0,0,0,0,1
155,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,3.0,0,0,0,0,0,0,1
156,1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,0.43258014827382274,4.0,0,0,0,0,0,0,1
157,1109,Alabama,Pike County,33338,0.004349391085248065,48.95,0.43258014827382274,1.0,0,0,0,0,0,0,1
158,1109,Alabama,Pike County,33338,0.004349391085248065,48.95,0.43258014827382274,1.0,0,0,0,0,0,0,1
159,1115,Alabama,St. Clair County,88690,0.0017702108467696472,132.29,0.43258014827382274,3.0,0,0,0,0,0,0,1
160,1115,Alabama,St. Clair County,88690,0.0017702108467696472,132.29,0.43258014827382274,3.0,0,0,0,0,0,0,1
161,1115,Alabama,St. Clair County,88690,0.0017702108467696472,132.29,0.43258014827382274,1.0,0,0,0,0,0,0,1
