countyfips,CTYNAME,TOT_POP,PercentHBAC,dens2010,turnout,Q13,EQ_DRE with and without paper trail,EQ_DRE without paper trail,EQ_Mail,EQ_Paper and DRE with and without paper trail,EQ_Paper and DRE with paper trail,EQ_Paper and DRE without paper trail,EQ_Paper ballot,ST__Alabama,ST__Alaska,ST__Arizona,ST__Arkansas,ST__California,ST__Colorado,ST__Connecticut,ST__Delaware,ST__Florida,ST__Georgia,ST__Hawaii,ST__Idaho,ST__Illinois,ST__Indiana,ST__Iowa,ST__Kansas,ST__Kentucky,ST__Louisiana,ST__Maine,ST__Maryland,ST__Massachusetts,ST__Michigan,ST__Minnesota,ST__Mississippi,ST__Missouri,ST__Montana,ST__Nebraska,ST__Nevada,ST__New Hampshire,ST__New Jersey,ST__New Mexico,ST__New York,ST__North Carolina,ST__North Dakota,ST__Ohio,ST__Oklahoma,ST__Oregon,ST__Pennsylvania,ST__Rhode Island,ST__South Carolina,ST__South Dakota,ST__Tennessee,ST__Texas,ST__Utah,ST__Vermont,ST__Virginia,ST__Washington,ST__West Virginia,ST__Wisconsin,ST__Wyoming
1033,Colbert County,54762,0.002812169022314744,91.84,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,Colbert County,54762,0.002812169022314744,91.84,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Crenshaw County,13824,0.0032552083333333335,22.84,0.43258014827382274,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Cullman County,83442,0.002013374559574315,109.42,0.43258014827382274,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,Dale County,48956,0.00735354195604216,89.55,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,Dale County,48956,0.00735354195604216,89.55,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,Dallas County,38310,0.004306969459671104,44.77,0.43258014827382274,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,DeKalb County,71385,0.004987042095678364,91.51,0.43258014827382274,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,DeKalb County,71385,0.004987042095678364,91.51,0.43258014827382274,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,Elmore County,81887,0.0030529876537179284,128.22,0.43258014827382274,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
